symbol;name;short_name;sector;industry
EFSC;Enterprise Financial Services Corporation Common Stock;Enterprise Financial;Finance;Major Banks
EFSCP;Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A;Enterprise Financial;Finance;Major Banks
EFSH;1847 Holdings LLC Common Shares;1847 Holdings;Industrials;Consumer Electronics/Appliances
EFT;Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest;Eaton Vance;Finance;Finance Companies
EFTR;eFFECTOR Therapeutics Inc. Common Stock;eFFECTOR Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
EFTRW;eFFECTOR Therapeutics Inc. Warrant;eFFECTOR Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
EFX;Equifax Inc. Common Stock;Equifax;Finance;Advertising
EFXT;Enerflex Ltd Common Shares;Enerflex;Consumer Staples;Meat/Poultry/Fish
EGAN;eGain Corporation Common Stock;eGain;Technology;Computer Software: Prepackaged Software
EGBN;Eagle Bancorp Inc. Common Stock;Eagle Bancorp;Finance;Major Banks
EGF;Blackrock Enhanced Government Fund Inc. Common Stock;Blackrock Enhanced;Finance;Trusts Except Educational Religious and Charitable
EGGF;EG Acquisition Corp. Class A Common Stock;EG Acquisition;Industrials;Consumer Electronics/Appliances
EGHT;8x8 Inc Common Stock;8x8;Technology;EDP Services
EGIO;Edgio Inc. Common Stock;Edgio;Technology;Interactive Media
EGLE;Eagle Bulk Shipping Inc. Common Stock;Eagle Bulk Shipping;Consumer Discretionary;Marine Transportation
EGLX;Enthusiast Gaming Holdings Inc. Common Stock;Enthusiast Gaming;Miscellaneous;Other Pharmaceuticals
EGO;Eldorado Gold Corporation Ordinary Shares;Eldorado Gold;;
EGP;EastGroup Properties Inc. Common Stock;EastGroup Properties;Real Estate;Real Estate Investment Trusts
EGRX;Eagle Pharmaceuticals Inc. Common Stock;Eagle Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
EGY;VAALCO Energy Inc.  Common Stock;VAALCO Energy;Energy;Oil & Gas Production
EH;EHang Holdings Limited ADS;EHang Holdings;Consumer Discretionary;Air Freight/Delivery Services
EHAB;Enhabit Inc. Common Stock;Enhabit;Health Care;Hospital/Nursing Management
EHC;Encompass Health Corporation Common Stock;Encompass Health;Health Care;Medical Specialities
EHI;Western Asset Global High Income Fund Inc Common Stock;Western Asset Global;Finance;Investment Managers
EHTH;eHealth Inc. Common Stock;eHealth;Finance;Specialty Insurers
EIC;Eagle Point Income Company Inc. Common Stock;Eagle Point Income;Finance;Finance/Investors Services
EICA;Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026;Eagle Point Income;Finance;Finance/Investors Services
EIG;Employers Holdings Inc Common Stock;Employers Holdings;Finance;Property-Casualty Insurers
EIGR;Eiger BioPharmaceuticals Inc. Common Stock;Eiger BioPharmaceuticals;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
EIM;Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value;Eaton Vance;Finance;Finance/Investors Services
EIX;Edison International Common Stock;Edison International;Utilities;Electric Utilities: Central
EJH;E-Home Household Service Holdings Limited Ordinary Shares;E-Home Household;Consumer Discretionary;Other Consumer Services
EKSO;Ekso Bionics Holdings Inc. Common Stock;Ekso Bionics;Health Care;Medical/Dental Instruments
EL;Estee Lauder Companies Inc. (The) Common Stock;Estee Lauder;Consumer Discretionary;Package Goods/Cosmetics
ELA;Envela Corporation Common Stock;Envela;Consumer Discretionary;Consumer Specialties
ELAN;Elanco Animal Health Incorporated Common Stock;Elanco Animal Health;Health Care;Biotechnology: Pharmaceutical Preparations
ELBM;Electra Battery Materials Corporation Common Stock;Electra Battery;;
ELC;Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066;Entergy Louisiana;;
ELDN;Eledon Pharmaceuticals Inc. Common Stock;Eledon Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ELEV;Elevation Oncology Inc. Common stock;Elevation Oncology;Health Care;Biotechnology: Pharmaceutical Preparations
ELF;e.l.f. Beauty Inc. Common Stock;e\.l\.f\. Beauty;Consumer Discretionary;Package Goods/Cosmetics
ELF;e.l.f. Beauty Inc. Common Stock;elf Beauty;Consumer Discretionary;Package Goods/Cosmetics
ELLO;Ellomay Capital Ltd Ordinary Shares (Israel);Ellomay Capital;Utilities;Electric Utilities: Central
ELMD;Electromed Inc. Common Stock;Electromed;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELME;Elme Communities Common Stock;Elme Communities;Real Estate;Real Estate Investment Trusts
ELOX;Eloxx Pharmaceuticals Inc. Common Stock;Eloxx Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ELP;Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares);Companhia Paranaense;Utilities;Electric Utilities: Central
ELS;Equity Lifestyle Properties Inc. Common Stock;Equity Lifestyle;Real Estate;Real Estate Investment Trusts
ELSE;Electro-Sensors Inc. Common Stock;Electro-Sensors;Industrials;Industrial Machinery/Components
ELTK;Eltek Ltd. Ordinary Shares;Eltek;Technology;Electrical Products
ELV;Elevance Health Inc. Common Stock;Elevance Health;Health Care;Medical Specialities
ELVN;Enliven Therapeutics Inc. Common Stock;Enliven Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ELYM;Eliem Therapeutics Inc Common Stock;Eliem Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ELYS;Elys Game Technology Corp. Common Stock;Elys Game Technology;Consumer Discretionary;Movies/Entertainment
EM;Smart Share Global Limited American Depositary Shares;Smart Share Global;Consumer Discretionary;Other Consumer Services
EMAN;eMagin Corporation Common Stock;eMagin;Technology;Industrial Machinery/Components
EMBC;Embecta Corp. Common Stock;Embecta;Health Care;Medical/Dental Instruments
EMBK;Embark Technology Inc. Common Stock;Embark Technology;Technology;Computer Software: Prepackaged Software
EMBKW;Embark Technology Inc. Warrants;Embark Technology;Technology;Computer Software: Prepackaged Software
EMCG;Embrace Change Acquisition Corp Ordinary Shares;Embrace Change Acquisition;Finance;Blank Checks
EMCGR;Embrace Change Acquisition Corp Rights;Embrace Change Acquisition;Finance;Blank Checks
EMCGU;Embrace Change Acquisition Corp Unit;Embrace Change Acquisition;Finance;Blank Checks
EMD;Western Asset Emerging Markets Debt Fund Inc Common Stock;Western Asset Emerging Markets Debt Fund;Finance;Finance/Investors Services
EME;EMCOR Group Inc. Common Stock;EMCOR;Industrials;Engineering & Construction
EMF;Templeton Emerging Markets Fund Common Stock;Templeton Emerging Markets Fund;Finance;Finance/Investors Services
EMKR;EMCORE Corporation Common Stock;EMCORE Corporation;Technology;Semiconductors
EML;Eastern Company (The) Common Stock;Eastern Company;Industrials;Industrial Specialties
EMLD;FTAC Emerald Acquisition Corp. Class A Common Stock;FTAC Emerald Acquisition;Industrials;Consumer Electronics/Appliances
EMLDU;FTAC Emerald Acquisition Corp. Unit;FTAC Emerald Acquisition;Industrials;Consumer Electronics/Appliances
EMLDW;FTAC Emerald Acquisition Corp. Warrant;FTAC Emerald Acquisition;Industrials;Consumer Electronics/Appliances
EMN;Eastman Chemical Company Common Stock;Eastman Chemical Company;Industrials;Major Chemicals
EMO;ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock;ClearBridge Energy Midstream Opportunity Fund;Finance;Investment Managers
EMP;Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066;Entergy Mississippi;;
EMR;Emerson Electric Company Common Stock;Emerson Electric Company;Industrials;Industrial Machinery/Components
EMX;EMX Royalty Corporation Common Shares (Canada);EMX Royalty Corporation;;
ENB;Enbridge Inc Common Stock;Enbridge Inc;Energy;Oil & Gas Production
ENBA;Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078;Enbridge Inc;Energy;Oil & Gas Production
ENCP;Energem Corp Class A Ordinary Shares;Energem Corp;Energy;Industrial Machinery/Components
ENCPU;Energem Corp Unit;Energem Corp;Energy;Industrial Machinery/Components
ENCPW;Energem Corp Warrant;Energem Corp;Energy;Industrial Machinery/Components
ENER;Accretion Acquisition Corp. Common Stock;Accretion Acquisition;Industrials;Consumer Electronics/Appliances
ENERR;Accretion Acquisition Corp. Right;Accretion Acquisition;Finance;Blank Checks
ENERW;Accretion Acquisition Corp. Warrant;Accretion Acquisition;Industrials;Consumer Electronics/Appliances
ENFN;Enfusion Inc. Class A Common Stock;Enfusion Inc;Technology;Computer Software: Prepackaged Software
ENG;ENGlobal Corporation Common Stock;ENGlobal Corporation;Consumer Discretionary;Military/Government/Technical
ENIC;Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock);Enel Chile S\.A\.;Utilities;Electric Utilities: Central
ENIC;Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock);Enel Chile SA;Utilities;Electric Utilities: Central
ENIC;Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock);Enel Chile;Utilities;Electric Utilities: Central
ENJ;Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052;Entergy New Orleans;Utilities;Power Generation
ENLC;EnLink Midstream LLC Common Units representing Limited Partner Interests;EnLink Midstream;Utilities;Natural Gas Distribution
ENLT;Enlight Renewable Energy Ltd. Ordinary Shares;Enlight Renewable Energy;;
ENLV;Enlivex Therapeutics Ltd. Ordinary Shares;Enlivex Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ENO;Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066;Entergy New Orleans;;
ENOB;Enochian Biosciences Inc. Common Stock;Enochian Biosciences;Health Care;Biotechnology: Pharmaceutical Preparations
ENOV;Enovis Corporation Common Stock;Enovis Corporation;Industrials;Fluid Controls
ENPH;Enphase Energy Inc. Common Stock;Enphase Energy;Technology;Electrical Products
ENR;Energizer Holdings Inc. Common Stock;Energizer Holdings;Industrials;Metal Fabrications
ENS;EnerSys Common Stock;EnerSys;Consumer Discretionary;Telecommunications Equipment
ENSC;Ensysce Biosciences Inc. Common Stock;Ensysce Biosciences;Health Care;Biotechnology: Pharmaceutical Preparations
ENSG;The Ensign Group Inc. Common Stock;The Ensign;Health Care;Hospital/Nursing Management
ENSV;Enservco Corporation Common Stock;Enservco Corporation;Energy;Oilfield Services/Equipment
ENTA;Enanta Pharmaceuticals Inc. Common Stock;Enanta Pharmaceuticals;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ENTF;Enterprise 4.0 Technology Acquisition Corp. Class A Ordinary Shares;Enterprise 4\.0 Technology Acquisition;Finance;Blank Checks
ENTFU;Enterprise 4.0 Technology Acquisition Corp. Unit;Enterprise 4\.0 Technology Acquisition;Finance;Blank Checks
ENTFW;Enterprise 4.0 Technology Acquisition Corp. Warrant;Enterprise 4\.0 Technology Acquisition;Finance;Blank Checks
ENTG;Entegris Inc. Common Stock;Entegris Inc;Technology;Semiconductors
ENTX;Entera Bio Ltd. Ordinary Shares;Entera Bio;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ENTX;Entera Bio Ltd. Ordinary Shares;Entera Bio Ltd;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ENTXW;Entera Bio Ltd. Warrant;Entera Bio Ltd;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ENV;Envestnet Inc Common Stock;Envestnet Inc;Technology;EDP Services
ENVA;Enova International Inc. Common Stock;Enova International;Finance;Finance: Consumer Services
ENVB;Enveric Biosciences Inc. Common Stock;Enveric Biosciences;Health Care;Biotechnology: Pharmaceutical Preparations
ENVX;Enovix Corporation Common Stock;Enovix Corporation;Industrials;Industrial Machinery/Components
ENX;Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value;Eaton Vance New York Municipal Bond Fund;Finance;Finance/Investors Services
ENZ;Enzo Biochem Inc. Common Stock ($0.01 Par Value);Enzo Biochem;Health Care;Medical Specialities
EOCW;Elliott Opportunity II Corp. Class A Ordinary Shares;Elliott Opportunity II Corp;Finance;Blank Checks
EOD;Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest;Allspring Global Dividend Opportunity Fund;Finance;Investment Managers
EOG;EOG Resources Inc. Common Stock;EOG Resources;Energy;Oil & Gas Production
EOI;Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest;Eaton Vance Enhance Equity Income Fund;Finance;Finance/Investors Services
EOLS;Evolus Inc. Common Stock;Evolus Inc;Health Care; Medicinal Chemicals and Botanical Products
EOS;Eaton Vance Enhance Equity Income Fund II Common Stock;Eaton Vance Enhance Equity Income Fund II;Finance;Trusts Except Educational Religious and Charitable
EOSE;Eos Energy Enterprises Inc. Class A Common Stock;Eos Energy Enterprises;Technology;Electronic Components
EOSEW;Eos Energy Enterprises Inc. Warrant;Eos Energy Enterprises;Technology;Electronic Components
EOT;Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST;Eaton Vance Municipal Income Trust;Finance;Trusts Except Educational Religious and Charitable
EP;Empire Petroleum Corporation Common Stock;Empire Petroleum Corporation;Energy;Oil & Gas Production
EPAC;Enerpac Tool Group Corp. Common Stock;Enerpac Tool;Industrials;Industrial Machinery/Components
EPAM;EPAM Systems Inc. Common Stock;EPAM Systems;Technology;EDP Services
EPC;Edgewell Personal Care Company Common Stock;Edgewell Personal Care Company;Consumer Discretionary;Package Goods/Cosmetics
EPD;Enterprise Products Partners L.P. Common Stock;Enterprise Products Partners;Utilities;Natural Gas Distribution
EPIX;ESSA Pharma Inc. Common Stock;ESSA Pharma;Health Care;Pharmaceuticals and Biotechnology
EPM;Evolution Petroleum Corporation Inc. Common Stock;Evolution Petroleum Corporation;Energy;Oil & Gas Production
EPOW;Sunrise New Energy Co. Ltd Ordinary Shares;Sunrise New Energy;Consumer Discretionary;Business Services
EPR;EPR Properties Common Stock;EPR Properties;Real Estate;Real Estate Investment Trusts
EPRT;Essential Properties Realty Trust Inc. Common Stock;Essential Properties Realty Trust;Real Estate;Real Estate Investment Trusts
EPSN;Epsilon Energy Ltd. Common Share;Epsilon Energy;;
EQ;Equillium Inc. Common Stock;Equillium Inc;Health Care;Biotechnology: Pharmaceutical Preparations
EQBK;Equity Bancshares Inc. Class A Common Stock;Equity Bancshares;Finance;Finance: Consumer Services
EQC;Equity Commonwealth Common Shares of Beneficial Interest;Equity Commonwealth;Real Estate;Real Estate Investment Trusts
EQH;Equitable Holdings Inc. Common Stock;Equitable Holdings;;
EQIX;Equinix Inc. Common Stock REIT;Equinix Inc;Real Estate;Real Estate Investment Trusts
EQNR;Equinor ASA;Equinor ASA;Energy;Integrated oil Companies
EQR;Equity Residential Common Shares of Beneficial Interest;Equity Residential;Real Estate;Real Estate Investment Trusts
EQRX;EQRx Inc.  Common Stock;EQRx Inc;Health Care;Biotechnology: Pharmaceutical Preparations
EQRXW;EQRx Inc. Warrant;EQRx Inc;Health Care;Biotechnology: Pharmaceutical Preparations
EQS;Equus Total Return Inc. Common Stock;Equus Total Return;Finance;Finance/Investors Services
EQT;EQT Corporation Common Stock;EQT Corporation;Energy;Oil & Gas Production
EQX;Equinox Gold Corp. Common Shares;Equinox Gold Corp;;
ERAS;Erasca Inc. Common Stock;Erasca Inc;Health Care;Biotechnology: Pharmaceutical Preparations
ERC;Allspring Multi-Sector Income Fund Common Stock;Allspring Multi-Sector Income Fund;Finance;Finance/Investors Services
ERES;East Resources Acquisition Company Class A Common Stock;East Resources Acquisition Company;Industrials;Consumer Electronics/Appliances
ERESW;East Resources Acquisition Company Warrant;East Resources Acquisition Company;Industrials;Consumer Electronics/Appliances
ERF;Enerplus Corporation Common Stock;Enerplus Corporation;;
ERH;Allspring Utilities and High Income Fund Common Shares;Allspring Utilities and High Income Fund;Finance;Finance/Investors Services
ERIC;Ericsson American Depositary Shares;Ericsson;Technology;Computer Software: Prepackaged Software
ERIE;Erie Indemnity Company Class A Common Stock;Erie Indemnity Company;Finance;Specialty Insurers
ERII;Energy Recovery Inc. Common Stock;Energy Recovery Inc;Technology;Industrial Machinery/Components
ERJ;Embraer S.A. Common Stock;Embraer SA;Industrials;Aerospace
ERJ;Embraer S.A. Common Stock;Embraer S\.A\.;Industrials;Aerospace
ERNA;Eterna Therapeutics Inc. Common Stock;Eterna Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ERO;Ero Copper Corp. Common Shares;Ero Copper Corp;;
ERYP;Erytech Pharma S.A. American Depositary Shares;Erytech Pharma;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ES;Eversource Energy (D/B/A) Common Stock;Eversource Energy;Utilities;Electric Utilities: Central
ESAB;ESAB Corporation Common Stock;ESAB Corporation;Industrials;Office Equipment/Supplies/Services
ESAC;ESGEN Acquisition Corporation Class A Ordinary Shares;ESGEN Acquisition Corporation;Finance;Blank Checks
ESACU;ESGEN Acquisition Corporation Unit;ESGEN Acquisition Corporation;Finance;Blank Checks
ESACW;ESGEN Acquisition Corporation Warrants;ESGEN Acquisition Corporation;Finance;Blank Checks
ESCA;Escalade Incorporated Common Stock;Escalade Incorporated;Consumer Discretionary;Recreational Games/Products/Toys
ESE;ESCO Technologies Inc. Common Stock;ESCO Technologies;Telecommunications;Telecommunications Equipment
ESEA;Euroseas Ltd. Common Stock (Marshall Islands);Euroseas;Consumer Discretionary;Marine Transportation
ESEA;Euroseas Ltd. Common Stock (Marshall Islands);Euroseas Ltd;Consumer Discretionary;Marine Transportation
ESGR;Enstar Group Limited Ordinary Shares;Enstar Limited;Finance;Property-Casualty Insurers
ESGRO;Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E;Enstar Limited;Finance;Property-Casualty Insurers
ESGRP;Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares;Enstar Limited;Finance;Property-Casualty Insurers
ESI;Element Solutions Inc. Common Stock;Element Solutions Inc;Industrials;Industrial Specialties
ESLT;Elbit Systems Ltd. Ordinary Shares;Elbit Systems;Industrials;Military/Government/Technical
ESLT;Elbit Systems Ltd. Ordinary Shares;Elbit Systems Ltd;Industrials;Military/Government/Technical
ESMT;EngageSmart Inc. Common Stock;EngageSmart Inc;Technology;EDP Services
ESNT;Essent Group Ltd. Common Shares;Essent;Finance;Property-Casualty Insurers
ESNT;Essent Group Ltd. Common Shares;Essent Ltd;Finance;Property-Casualty Insurers
ESOA;Energy Services of America Corporation Common Stock;Energy Services of America;Industrials;Water Sewer Pipeline Comm & Power Line Construction
ESP;Espey Mfg. & Electronics Corp. Common Stock;Espey Mfg & Electronics;Technology;Industrial Machinery/Components
ESP;Espey Mfg. & Electronics Corp. Common Stock;Espey Mfg;Technology;Industrial Machinery/Components
ESP;Espey Mfg. & Electronics Corp. Common Stock;Espey Electronics;Technology;Industrial Machinery/Components
ESPR;Esperion Therapeutics Inc. Common Stock;Esperion Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ESQ;Esquire Financial Holdings Inc. Common Stock;Esquire Financial Holdings;Finance;Commercial Banks
ESRT;Empire State Realty Trust Inc. Class A Common Stock;Empire State Realty Trust;Real Estate;Real Estate Investment Trusts
ESS;Essex Property Trust Inc. Common Stock;Essex Property Trust;Real Estate;Real Estate Investment Trusts
ESSA;ESSA Bancorp Inc. Common Stock;ESSA Bancorp;Finance;Banks
ESTA;Establishment Labs Holdings Inc. Common Shares;Establishment Labs Holdings;Health Care;Industrial Specialties
ESTC;Elastic N.V. Ordinary Shares;Elastic N\.V\.;Technology;Computer Software: Prepackaged Software
ESTC;Elastic N.V. Ordinary Shares;Elastic NV;Technology;Computer Software: Prepackaged Software
ESTE;Earthstone Energy Inc. Class A Common Stock;Earthstone Energy;Energy;Oil & Gas Production
ET;Energy Transfer LP Common Units ;Energy Transfer LP;Utilities;Natural Gas Distribution
ETAO;Etao International Co. Ltd. Ordinary Shares;Etao International;Finance;Blank Checks
ETB;Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest;Eaton Vance Tax-Managed Buy-Write Income Fund;Finance;Trusts Except Educational Religious and Charitable
ETD;Ethan Allen Interiors Inc. Common Stock;Ethan Allen Interiors;Consumer Discretionary;Home Furnishings
ETG;Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest;Eaton Vance Tax-Advantaged Global Dividend Income Fund;Finance;Investment Managers
ETJ;Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest;Eaton Vance Risk-Managed Diversified Equity Income Fund;Finance;Finance Companies
ETN;Eaton Corporation PLC Ordinary Shares;Eaton Corporation;Industrials;Industrial Machinery/Components
ETNB;89bio Inc. Common Stock;89bio Inc;Health Care;Biotechnology: Pharmaceutical Preparations
ETO;Eaton Vance Tax-Advantage Global Dividend Opp Common Stock;Eaton Vance Tax-Advantage Global Dividend Opp;Finance;Investment Managers
ETON;Eton Pharmaceuticals Inc. Common Stock;Eton Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ETR;Entergy Corporation Common Stock;Entergy Corporation;Utilities;Electric Utilities: Central
ETRN;Equitrans Midstream Corporation Common Stock ;Equitrans Midstream Corporation;Energy;Oilfield Services/Equipment
ETSY;Etsy Inc. Common Stock;Etsy Inc;Consumer Discretionary;Catalog/Specialty Distribution
ETV;Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest;Eaton Vance Tax-Managed Buy-Write Opportunities Fund;Finance;Trusts Except Educational Religious and Charitable
ETW;Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest;Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund;Finance;Investment Managers
ETWO;E2open Parent Holdings Inc.Class A Common Stock;E2open Parent Holdings;Technology;Computer Software: Prepackaged Software
ETX           ;Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest;Eaton Vance Municipal;Finance;Finance Companies
ETY;Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest;Eaton Vance Tax-Managed Diversified Equity Income Fund;Finance;Finance Companies
EU;enCore Energy Corp. Common Shares;enCore Energy Corp;;
EUCR;Eucrates Biomedical Acquisition Corp. Ordinary Shares;Eucrates Biomedical Acquisition Corp;Finance;Blank Checks
EUCRW;Eucrates Biomedical Acquisition Corp. Warrant;Eucrates Biomedical Acquisition Corp;Finance;Blank Checks
EUDA;EUDA Health Holdings Limited Ordinary Shares;EUDA Health Holdings;Finance;Blank Checks
EUDAW;EUDA Health Holdings Limited Warrant;EUDA Health Holdings;;
EURN;Euronav NV Ordinary Shares;Euronav NV;Consumer Discretionary;Marine Transportation
EVA;Enviva Inc. Common Stock;Enviva Inc;;
EVAX;Evaxion Biotech A/S American Depositary Share;Evaxion Biotech;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
EVBG;Everbridge Inc. Common Stock;Everbridge;Technology;Retail: Computer Software & Peripheral Equipment
EVBN;Evans Bancorp Inc. Common Stock;Evans Bancorp;Finance;Major Banks
EVC;Entravision Communications Corporation Common Stock;Entravision Communications;Consumer Discretionary;Advertising
EVCM;EverCommerce Inc. Common Stock;EverCommerce;Technology;EDP Services
EVE;EVe Mobility Acquisition Corp Class A Ordinary Shares;EVe Mobility Acquisition;Finance;Blank Checks
EVER;EverQuote Inc. Class A Common Stock;EverQuote;Technology;EDP Services
EVEX;Eve Holding Inc. Common Stock;Eve Holding;Industrials;Aerospace
EVF;Eaton Vance Senior Income Trust Common Stock;Eaton Vance Senior Income Trust;Finance;Trusts Except Educational Religious and Charitable
EVG;Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest;Eaton Vance Short Diversified Income Fund;Finance;Investment Managers
EVGN;Evogene Ltd Ordinary Shares;Evogene;Industrials;Agricultural Chemicals
EVGO;EVgo Inc. Class A Common Stock;EVgo;Consumer Discretionary;Catalog/Specialty Distribution
EVGOW;EVgo Inc. Warrants;EVgo Warrants;Consumer Discretionary;Catalog/Specialty Distribution
EVGR;Evergreen Corporation Class A Ordinary Share;Evergreen Corporation;Finance;Blank Checks
EVGRU;Evergreen Corporation Unit;Evergreen Corporation Unit;Finance;Blank Checks
EVGRW;Evergreen Corporation Warrant;Evergreen Corporation Warrant;Finance;Blank Checks
EVH;Evolent Health Inc Class A Common Stock;Evolent Health;Health Care;Managed Health Care
EVI;EVI Industries Inc.  Common Stock;EVI Industries;Industrials;Industrial Machinery/Components
EVLO;Evelo Biosciences Inc. Common Stock;Evelo Biosciences;Health Care; Medicinal Chemicals and Botanical Products
EVLV;Evolv Technologies Holdings Inc. Class A Common Stock;Evolv Technologies Holdings;Technology;Security Systems Services
EVLVW;Evolv Technologies Holdings Inc. Warrant;Evolv Technologies Holdings Warrant;Technology;Security Systems Services
EVM;Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value;Eaton Vance California Municipal Bond Fund;Finance;Finance/Investors Services
EVN;Eaton Vance Municipal Income Trust Common Stock;Eaton Vance Municipal Income Trust;Finance;Investment Managers
EVO;Evotec SE American Depositary Shares;Evotec SE;Health Care;Biotechnology: Pharmaceutical Preparations
EVOJ;Evo Acquisition Corp. Class A Common Stock;Evo Acquisition;Industrials;Consumer Electronics/Appliances
EVOJU;Evo Acquisition Corp. Unit;Evo Acquisition Unit;Industrials;Consumer Electronics/Appliances
EVOJW;Evo Acquisition Corp. Warrant;Evo Acquisition Warrant;Industrials;Consumer Electronics/Appliances
EVOK;Evoke Pharma Inc. Common Stock;Evoke Pharma;Health Care;Biotechnology: Pharmaceutical Preparations
EVR;Evercore Inc. Class A Common Stock;Evercore;Finance;Investment Managers
EVRG;Evergy Inc. Common Stock;Evergy;Utilities;Power Generation
EVRI;Everi Holdings Inc. Common Stock;Everi Holdings;Consumer Discretionary;Recreational Games/Products/Toys
EVT;Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest;Eaton Vance Tax Advantaged Dividend Income Fund;Finance;Finance Companies
EVTC;Evertec Inc. Common Stock;Evertec;Technology;EDP Services
EVTL;Vertical Aerospace Ltd. Ordinary Shares;Vertical Aerospace;Industrials;Aerospace
EVTV;Envirotech Vehicles Inc. Common Stock;Envirotech Vehicles;Consumer Discretionary;Auto Manufacturing
EVV;Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest;Eaton Vance Limited Duration Income Fund;Finance;Finance/Investors Services
EW;Edwards Lifesciences Corporation Common Stock;Edwards Lifesciences;Health Care;Industrial Specialties
EWBC;East West Bancorp Inc. Common Stock;East West Bancorp;Finance;Commercial Banks
EWCZ;European Wax Center Inc. Class A Common Stock;European Wax Center;Consumer Discretionary;Package Goods/Cosmetics
EWTX;Edgewise Therapeutics Inc. Common Stock;Edgewise Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
EXAI;Exscientia Plc American Depositary Shares;Exscientia;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
EXAS;Exact Sciences Corporation Common Stock;Exact Sciences;Health Care;Biotechnology: Commercial Physical & Biological Resarch
EXC;Exelon Corporation Common Stock;Exelon;Utilities;Power Generation
EXD;Eaton Vance Tax-Managed Buy-Write Strategy Fund Common Shares of Beneficial Interest;Eaton Vance Tax-Managed Buy-Write Strategy Fund;Finance;Trusts Except Educational Religious and Charitable
EXEL;Exelixis Inc. Common Stock;Exelixis;Health Care;Biotechnology: Commercial Physical & Biological Resarch
EXFY;Expensify Inc. Class A Common Stock;Expensify;Technology;Computer Software: Prepackaged Software
