symbol;name;short_name;sector;industry
SLVR;SilverSPAC Inc. Class A Ordinary Share;SilverSPAC;Finance;Blank Checks
SLVRU;SilverSPAC Inc. Unit;SilverSPAC Unit;Finance;Blank Checks
SLVRW;SilverSPAC Inc. Warrant;SilverSPAC Warrant;Finance;Blank Checks
SM;SM Energy Company Common Stock;SM Energy;Energy;Oil & Gas Production
SMAP;SportsMap Tech Acquisition Corp. Common Stock;SportsMap Tech Acquisition;Industrials;Consumer Electronics/Appliances
SMAPU;SportsMap Tech Acquisition Corp. Units;SportsMap Tech Acquisition Units;Industrials;Consumer Electronics/Appliances
SMAPW;SportsMap Tech Acquisition Corp. Warrants;SportsMap Tech Acquisition Warrants;Industrials;Consumer Electronics/Appliances
SMAR;Smartsheet Inc. Class A Common Stock;Smartsheet;Technology;EDP Services
SMBC;Southern Missouri Bancorp Inc. Common Stock;Southern Missouri Bancorp;Finance;Banks
SMBK;SmartFinancial Inc. Common Stock;SmartFinancial;Finance;Major Banks
SMCI;Super Micro Computer Inc. Common Stock;Super Micro Computer;Technology;Computer Manufacturing
SMFG;Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan);Sumitomo Mitsui Financial;Finance;Commercial Banks
SMFL;Smart for Life Inc. Common Stock ;Smart for Life;Consumer Staples;Farming/Seeds/Milling
SMG;Scotts Miracle-Gro Company (The) Common Stock;Scotts Miracle-Gro;Industrials;Agricultural Chemicals
SMHI;SEACOR Marine Holdings Inc. Common Stock ;SEACOR Marine Holdings;Consumer Discretionary;Marine Transportation
SMID;Smith-Midland Corporation Common Stock;Smith-Midland;Industrials;Building Materials
SMLP;Summit Midstream Partners LP Common Units Representing Limited Partner Interests;Summit Midstream Partners;Energy;Oilfield Services/Equipment
SMLR;Semler Scientific Inc. Common Stock;Semler Scientific;Health Care;Medical/Dental Instruments
SMMF;Summit Financial Group Inc. Common Stock;Summit Financial;Finance;Major Banks
SMMT;Summit Therapeutics Inc. Common Stock ;Summit Therapeutics;Health Care; Medicinal Chemicals and Botanical Products
SMP;Standard Motor Products Inc. Common Stock;Standard Motor Products;Consumer Discretionary;Auto Parts:O.E.M.
SMPL;The Simply Good Foods Company Common Stock;The Simply Good Foods;Consumer Staples;Packaged Foods
SMR;NuScale Power Corporation Class A Common Stock;NuScale Power;Industrials;Electrical Products
SMRT;SmartRent Inc. Class A Common Stock;SmartRent;Technology;EDP Services
SMSI;Smith Micro Software Inc. Common Stock;Smith Micro Software;Technology;Computer Software: Prepackaged Software
SMTC;Semtech Corporation Common Stock;Semtech;Technology;Semiconductors
SMTI;Sanara MedTech Inc. Common Stock;Sanara MedTech;Health Care;Medical/Dental Instruments
SMWB;Similarweb Ltd. Ordinary Shares;Similarweb;Technology;Computer Software: Programming Data Processing
SMX;SMX (Security Matters) Public Limited Company Class A Ordinary Shares;SMX;Industrials;Consumer Electronics/Appliances
SMXWW;SMX (Security Matters) Public Limited Company Warrant;SMX Warrant;Finance;Blank Checks
SNA;Snap-On Incorporated Common Stock;Snap-On;Consumer Discretionary;Diversified Manufacture
SNAL;Snail Inc. Class A Common Stock;Snail;;
SNAP;Snap Inc. Class A Common Stock;Snap;Technology;Internet and Information Services
SNAX;Stryve Foods Inc. Class A Common Stock;Stryve Foods;Consumer Staples;Specialty Foods
